process_id,scheme_or_route,step_no,step_title,detailed_action,responsible_party,required_evidence_or_output,mark_or_certificate,official_source_title,official_source_url,freshness_note
p-ii-01,Scheme II (CRS Registration),3,Prepare self-declaration,Compile evidence of conformity and the manufacturer’s declaration under the registration route.,Manufacturer,Self-declaration and technical evidence,CRS Registration Mark,BIS Scheme II Registration Scheme,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-ii-01,Scheme II (CRS Registration),4,Apply for CRS registration,Submit the registration application through the official CRS portal with required details and fees.,Manufacturer,CRS application and payment receipt,CRS Registration Mark,BIS Scheme II Registration Scheme,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-ii-01,Scheme II (CRS Registration),5,Obtain registration,"After review and acceptance, obtain the BIS registration number for the manufacturer/product combination.",Manufacturer,BIS CRS registration,CRS Registration Mark,BIS Scheme II Registration Scheme,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-ii-01,Scheme II (CRS Registration),6,Apply the registration mark,Mark covered products according to the CRS marking requirements and only within the registered scope.,Manufacturer,CRS Registration Mark and R-number,CRS Registration Mark,BIS Scheme II Registration Scheme,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-ii-01,Scheme II (CRS Registration),7,Maintain and renew,"Maintain conformity, records, and registration status; use the official CRS portal for inclusion, renewal, or changes.",Manufacturer,Renewal/inclusion records,CRS Registration Mark,BIS Scheme II Registration Scheme,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-iv-01,Scheme IV (Certificate of Conformity),1,Identify the CoC product,Confirm that the product is listed under Scheme IV and identify the essential requirement and applicable QCO.,Manufacturer/applicant,"Product scope, IS and QCO",CoC,BIS Scheme IV Certificate of Conformity,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,Scheme IV product-specific QCO and essential requirement govern the exact route.
p-iv-01,Scheme IV (Certificate of Conformity),2,Verify material inputs,"For transformer stampings/laminations/cores, confirm use of BIS Standard Marked electrical steel or the specified conforming materials; for bicycle reflectors, meet the stated clause of the applicable IS.",Manufacturer/applicant,Material certificates and input traceability,CoC,BIS Scheme IV Certificate of Conformity,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,Scheme IV product-specific QCO and essential requirement govern the exact route.
p-iv-01,Scheme IV (Certificate of Conformity),3,Compile conformity evidence,"Prepare technical, testing, manufacturing, and traceability evidence required by the relevant QCO and product-specific requirements.",Manufacturer/applicant,Technical file and test evidence,CoC,BIS Scheme IV Certificate of Conformity,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,Scheme IV product-specific QCO and essential requirement govern the exact route.
p-iv-01,Scheme IV (Certificate of Conformity),4,Apply for CoC,Submit the application through the current BIS conformity-assessment channel with required documents and fees.,Manufacturer/applicant,CoC application,CoC,BIS Scheme IV Certificate of Conformity,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,Scheme IV product-specific QCO and essential requirement govern the exact route.
p-iv-01,Scheme IV (Certificate of Conformity),5,Assessment and testing,BIS evaluates the evidence and may assess manufacturing and testing arrangements under the applicable conformity-assessment requirements.,Manufacturer/applicant,Assessment and test records,CoC,BIS Scheme IV Certificate of Conformity,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,Scheme IV product-specific QCO and essential requirement govern the exact route.
p-iv-01,Scheme IV (Certificate of Conformity),6,Receive and operate under CoC,Use the Certificate of Conformity only for the approved product and conditions; maintain conformity and records.,Manufacturer/applicant,Certificate of Conformity (CoC),CoC,BIS Scheme IV Certificate of Conformity,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,Scheme IV product-specific QCO and essential requirement govern the exact route.
p-x-01,Scheme X (Certification),1,Identify the IS and product scope,"Search the Indian Standard and confirm the Scheme X product category, specific requirement, QCO, and product-specific guidelines.",Manufacturer,"IS, scope and QCO",Scheme X Standard Mark,BIS Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-x-01,Scheme X (Certification),2,Prepare technical file,"Prepare the Technical File covering design, manufacture, and operation as applicable and necessary to demonstrate conformity.",Manufacturer,Complete Technical File,Scheme X Standard Mark,BIS Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-x-01,Scheme X (Certification),3,Establish capability,"Maintain manufacturing infrastructure, in-process controls, quality control, and testing capabilities for the relevant IS.",Manufacturer,Factory and QC evidence,Scheme X Standard Mark,BIS Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-x-01,Scheme X (Certification),4,Arrange testing,"Use BIS-recognized laboratories, manufacturing-premises testing, or an approved combination, as applicable to the product.",Manufacturer,Recognized-lab or in-house test reports,Scheme X Standard Mark,BIS Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-x-01,Scheme X (Certification),5,Submit online application,Submit the Scheme X application through the applicable BIS portal with Technical File and required fees. Separate applications/certifications apply to separate factory locations; separate licences apply to different products/IS.,Manufacturer,"Application, Technical File, fees",Scheme X Standard Mark,BIS Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-x-01,Scheme X (Certification),6,Factory assessment and conformity decision,BIS assesses the manufacturing infrastructure and controls and establishes product conformity through the applicable testing and evaluation.,Manufacturer,Assessment report and conformity decision,Scheme X Standard Mark,BIS Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-x-01,Scheme X (Certification),7,Receive Scheme X licence,"On successful assessment, obtain the licence to use the Standard Mark within the approved scope and conditions.",Manufacturer,Scheme X licence / Standard Mark,Scheme X Standard Mark,BIS Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-x-01,Scheme X (Certification),8,Maintain surveillance compliance,"Support BIS surveillance, preserve records and test capability, and only mark approved products within scope.",Manufacturer,Surveillance evidence and continued licence validity,Scheme X Standard Mark,BIS Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,"Product-specific manual, QCO, notification, or current portal rules prevail."
p-h-01,Hallmarking,1,Jeweller registration,Apply online for jeweller registration through Manakonline before sending articles to an Assaying and Hallmarking Centre.,Jeweller/A&H centre/BIS,Registration record,Hallmark,BIS Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,"Hallmarking rules, mandatory orders, and current charges must be checked live."
p-h-01,Hallmarking,2,Send articles to recognized A&H centre,Only a BIS-registered/certified jeweller can approach an A&H centre for hallmarking of jewellery.,Jeweller/A&H centre/BIS,Consignment and article records,Hallmark,BIS Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,"Hallmarking rules, mandatory orders, and current charges must be checked live."
p-h-01,Hallmarking,3,Assay and hallmark,The recognized centre assays the articles and applies the applicable hallmark components according to the governing IS and BIS requirements.,Jeweller/A&H centre/BIS,Assay report and hallmarked articles,Hallmark,BIS Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,"Hallmarking rules, mandatory orders, and current charges must be checked live."
p-h-01,Hallmarking,4,Verify HUID and details,Ensure each applicable article and detachable part has the required hallmark details and HUID; retain accurate article and invoice records.,Jeweller/A&H centre/BIS,"BIS logo, purity/fineness and HUID",Hallmark,BIS Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,"Hallmarking rules, mandatory orders, and current charges must be checked live."
p-h-01,Hallmarking,5,Maintain surveillance compliance,BIS may audit A&H centres and draw market samples from registered/certified jewellers for referral-laboratory testing.,Jeweller/A&H centre/BIS,Surveillance and traceability records,Hallmark,BIS Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,"Hallmarking rules, mandatory orders, and current charges must be checked live."
